FirstName;Initials;Lastname;Username;Email;StreetAddress;City;ZipCode;Country;Department;Password;Telephone;JobTitle
Max;MF;Pane;Max.Pane;Max.Pane@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;Q+/7_]Tc;44123456780;Engineer
Piers;PB;Dodge;Piers.Dodge;Piers.Dodge@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;RW-cn3N);44123456781;Manager
Kylie;KD;Davidson;Kylie.Davidson;Kylie.Davidson@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;3VKr2.Wm;44123456782;Engineer
Richard;RG;Grant;Richard.Grant;Richard.Grant@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;)N3ZYJvS;44123456783;Teamleader
Boris;BC;Jones;Boris.Jones;Boris.Jones@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;9ZesQ]pq;44123456784;Engineer
Nicholas;NM;Murray;Nicholas.Murray;Nicholas.Murray@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;KX*rB72p;44123456785;Manager
Leonard;LC;Clark;Leonard.Clark;Leonard.Clark@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;AJ+(}c3$;44123456786;Engineer
Ruth;RD;Dickens;Ruth.Dickens;Ruth.Dickens@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;Jgv4{Bb$;44123456787;Engineer
Jonathan;JF;Fisher;Jonathan.Fisher;Johnathan.Fisher@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;u*PQJAx5;44123456788;Engineer
Grace;GR;Rees;Grace.Rees;Grace.Rees@tech.pri;21 Baker St;London;NW1 6XE;United Kingdom;IT;w([6p&Kt;44123456789;Engineer
